Latent Size,RMSE,MAE,MSE,R^2
20,0.644834678959412,0.2815638011119177,0.415811763188688,0.49037540018133174
30,0.6204845468022253,0.2776724198068815,0.3850010728203629,0.5281374048650938
40,0.5992076028777387,0.27472005404673033,0.3590497513464858,0.5599437003856194
50,0.5796462668260163,0.27156342160997593,0.33598979464533724,0.588206299585647
